first_name,second_name,web_name,id,team,total_points,dreamteam_count,element_type,in_dreamteam,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
Michy,Batshuayi,Batshuayi,461,6,28,0,4,FALSE,66,1.8,224,1,2,0,8,0,0,0,0,0,0,1,59,61.8,42.9,185,28.3
Christian,Benteke,Benteke,129,7,42,0,4,FALSE,57,1.8,1252,2,1,5,18,0,0,0,4,1,0,1,133,231.8,248.3,632,110.9
Connor,Wickham,Wickham,130,7,15,0,4,FALSE,43,2.5,90,1,1,0,2,0,0,0,0,0,0,2,48,59.8,34.5,64,15.8
Andros,Townsend,Townsend,135,7,48,0,3,FALSE,56,2,1284,1,1,3,23,0,0,0,0,0,0,0,221,246.4,247.1,122,61.6
Cheikhou,Kouyaté,Kouyaté,139,7,85,0,3,FALSE,48,2.4,2524,1,2,10,36,0,0,0,4,0,0,4,288,394.6,162.3,279,83.5
Alex,Iwobi,Iwobi,17,8,52,0,3,FALSE,56,2.1,1591,1,0,4,30,0,0,0,0,0,0,2,227,246.4,383.7,329,95.9
Cenk,Tosun,Tosun,146,8,24,0,4,FALSE,57,2.4,462,2,0,2,6,0,0,0,0,0,0,1,86,89,63.4,229,37.7
Gylfi,Sigurdsson,Sigurdsson,151,8,95,0,3,FALSE,73,2.7,2555,2,4,6,45,0,0,0,3,0,0,7,397,454.6,765.1,484,170.5
Theo,Walcott,Walcott,153,8,63,0,3,FALSE,62,2.5,1281,2,4,4,19,0,0,0,1,0,0,1,186,225,289.1,521,103.7
Moise,Kean,Kean,496,8,53,0,4,FALSE,63,1.8,830,2,2,1,15,0,0,0,1,0,0,5,138,153.6,136.5,429,71.1
Demarai,Gray,Gray,175,9,44,0,3,FALSE,50,2.1,605,2,4,1,6,0,0,1,1,0,0,0,151,205.4,242.3,263,70.8
Wilfred,Ndidi,Ndidi,176,9,85,0,3,FALSE,50,2.7,2671,2,1,12,32,0,0,0,6,0,0,5,443,611.6,254.4,205,107.2
Hamza,Choudhury,Choudhury,180,9,35,0,3,FALSE,42,1.8,883,1,1,3,12,0,0,0,2,1,0,0,153,177.6,70,83,33.1
Dennis,Praet,Praet,517,9,54,0,3,FALSE,52,2,1122,1,3,2,17,0,0,0,2,0,0,3,203,196.2,161.6,210,56.5
Joel,Matip,Matip,185,10,39,0,2,FALSE,52,4.3,703,1,0,3,5,0,0,0,0,0,0,4,167,198.2,23,39,26.2
Alex,Oxlade-Chamberlain,Chamberlain,193,10,76,0,3,FALSE,61,2.5,1475,4,1,8,12,1,0,0,1,0,0,2,268,300,298.2,406,99.9
Xherdan,Shaqiri,Shaqiri,194,10,15,0,3,FALSE,63,2.1,181,1,0,1,2,0,0,0,0,0,0,0,54,47.8,51.6,37,13.7
Adam,Lallana,Lallana,195,10,27,0,3,FALSE,57,1.8,371,1,1,1,5,0,0,0,1,0,0,1,97,107.2,68.8,74,25.1
Curtis,Jones,Jones,569,10,13,0,3,FALSE,45,2.2,121,1,0,1,1,0,0,0,0,0,0,0,46,49.4,15.6,65,12.9
