Pos,Name,BV,SV,Team,37_xMins,37_Pts
M,Özil,6.7,6.7,Arsenal,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0
D,David Luiz,5.4,5.4,Arsenal,59,2.296
M,Aubameyang,11.3,11.3,Arsenal,35,2.48
D,Cédric,4.6,4.6,Arsenal,3,0.122
F,Lacazette,8.4,8.4,Arsenal,56,3.684
D,Mustafi,5.0,5.0,Arsenal,0,0
G,Leno,5.0,5.0,Arsenal,80,3.467
M,Xhaka,5.2,5.2,Arsenal,49,1.526
D,Marí,4.4,4.4,Arsenal,24,0.958
D,Bellerín,5.0,5.0,Arsenal,12,0.503
G,Martínez,5.4,5.2,Aston Villa,88,3.144
D,Chambers,4.5,4.5,Arsenal,74,3.128
D,Kolasinac,4.8,4.8,Arsenal,0,0
D,Maitland-Niles,4.6,4.6,West Brom,67,1.696
D,Holding,4.3,4.3,Arsenal,60,2.345
D,Tierney,5.2,5.2,Arsenal,81,3.445
M,Pépé,7.6,7.6,Arsenal,33,1.968
M,Torreira,4.7,4.7,Arsenal,0,0
M,Willock,4.7,4.7,Newcastle,59,2.743
M,Nelson,5.1,5.1,Arsenal,0,0
F,Nketiah,5.3,5.3,Arsenal,3,0.177
M,Smith Rowe,4.2,4.2,Arsenal,44,2.087
M,Saka,5.1,5.1,Arsenal,47,2.522
M,Guendouzi,4.7,4.7,Arsenal,0,0
M,Martinelli,4.9,4.9,Arsenal,34,1.859
D,Saliba,4.0,4.0,Arsenal,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0
D,El Mohamady,4.2,4.2,Aston Villa,9,0.231
M,Lansbury,4.3,4.3,Aston Villa,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.023
G,Steer,3.9,3.9,Aston Villa,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0
M,Jota,5.9,5.9,Aston Villa,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0
D,Engels,4.4,4.4,Aston Villa,1,0.025
M,Grealish,7.5,7.5,Aston Villa,81,3.359
M,McGinn,5.5,5.5,Aston Villa,84,2.465
D,Hause,4.4,4.4,Aston Villa,8,0.208
M,Trézéguet,5.2,5.2,Aston Villa,0,0
D,Mings,5.4,5.4,Aston Villa,86,1.866
D,Targett,5.0,5.0,Aston Villa,84,1.986
D,Bree,4.5,4.5,Aston Villa,0,0
M,Nakamba,4.3,4.3,Aston Villa,8,0.247
M,El Ghazi,5.2,5.2,Aston Villa,34,1.6
D,Konsa,4.7,4.7,Aston Villa,86,1.883
