player_id,first_name,second_name,web_name,team_id,total_points,position_id,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
3,Granit,Xhaka,Xhaka,1,116,3,49,3.9,2468,5,5,11,27,0,0,0,4,0,0,11,501,553.4,579.3,424.0,155.8
4,Mohamed,Elneny,Elneny,1,6,3,41,1.2,111,0,0,0,2,0,0,0,0,0,0,0,27,4.6,5.4,0.0,1.1
5,Rob,Holding,Holding,1,12,2,42,1.2,287,0,0,0,4,0,0,0,0,0,0,0,65,63.6,6.0,9.0,7.9
6,Thomas,Partey,Partey,1,75,3,47,3.0,2010,3,0,10,16,0,0,0,2,0,0,6,399,463.4,363.5,216.0,104.5
7,Martin,Ødegaard,Ødegaard,1,161,3,67,5.6,2474,10,8,11,27,0,0,0,4,0,0,22,633,736.6,951.5,744.0,243.4
8,Kieran,Tierney,Tierney,1,31,2,46,1.5,517,0,1,1,5,0,0,0,0,0,0,0,126,103.8,73.6,53.0,23.2
9,Nicolas,Pépé,Pépé,1,0,3,53,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,Benjamin,White,White,1,129,2,49,4.3,2334,2,3,13,21,0,0,0,5,0,0,10,582,516.6,393.6,129.0,104.0
11,Eddie,Nketiah,Nketiah,1,57,4,64,2.5,989,4,2,2,13,0,0,0,2,0,0,5,152,209.0,106.9,584.0,89.2
12,Emile,Smith Rowe,Smith Rowe,1,12,3,56,1.3,114,0,1,0,2,0,0,0,0,0,0,0,43,35.8,63.5,39.0,13.6
13,Bukayo,Saka,Saka,1,172,3,86,5.7,2526,12,11,11,29,0,0,0,6,0,0,16,579,850.6,922.9,964.0,273.9
14,Takehiro,Tomiyasu,Tomiyasu,1,32,2,42,1.5,651,0,1,2,11,0,0,0,2,0,0,0,173,137.0,86.6,55.0,27.7
15,Aaron,Ramsdale,Ramsdale,1,116,1,49,3.9,2700,0,0,12,29,0,0,0,1,0,73,6,532,590.6,0.0,0.0,59.2
16,Gabriel,dos Santos Magalhães,Gabriel,1,127,2,53,4.2,2695,3,0,12,29,0,0,0,4,0,0,14,595,646.4,94.5,363.0,110.4
17,Nuno,Varela Tavares,Tavares,1,0,2,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19,Gabriel,Martinelli Silva,Martinelli,1,175,3,68,5.8,2433,14,7,13,24,0,0,0,3,0,0,16,556,743.4,690.8,1184.0,261.7
20,Pablo,Marí Villar,Pablo Marí,1,0,2,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22,Lucas,Torreira di Pascua,Torreira,1,0,3,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23,Reiss,Nelson,Nelson,1,32,3,47,8.0,103,3,2,1,0,0,0,0,0,0,0,5,96,159.4,83.9,117.0,36.1
24,Matt,Turner,Turner,1,0,1,38,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25,Fábio,Ferreira Vieira,Fábio Vieira,1,36,3,56,2.0,404,1,2,2,3,0,0,0,0,0,0,2,121,107.6,133.7,113.0,35.1
26,William,Saliba,Saliba,1,117,2,50,4.3,2415,2,1,12,25,1,0,0,4,0,0,14,571,529.0,100.8,114.0,74.5
27,Marcus,Oliveira Alencar,Marquinhos,1,1,3,46,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0
28,Gabriel,Fernando de Jesus,Jesus,1,90,4,81,5.0,1396,8,6,7,12,0,0,0,4,0,0,11,294,492.0,305.5,989.0,178.5
111,Leandro,Trossard,Trossard,1,133,3,67,4.8,1865,8,10,7,32,0,0,0,1,0,0,8,426,583.0,577.7,804.0,196.4
130,Jorge Luiz,Frello Filho,Jorginho,1,63,3,57,2.5,1660,2,1,7,19,0,0,0,4,0,0,5,296,316.2,203.1,91.0,61.1
313,Oleksandr,Zinchenko,Zinchenko,1,91,2,52,4.0,1829,1,2,9,20,0,0,0,2,0,0,8,439,363.2,354.4,181.0,89.9
607,Matthew,Smith,Smith,1,0,3,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
630,Ethan,Nwaneri,Nwaneri,1,1,3,45,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
631,Lino,Sousa,Sousa,1,0,2,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
