player_id,first_name,second_name,web_name,team_id,total_points,position_id,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
529,Romelu,Lukaku,Lukaku,6,87,4,114,3.3,1583,8,1,7,14,0,0,0,1,0,0,12,310,367.0,303.3,704.0,137.2
539,Emerson,Palmieri dos Santos,Emerson,6,1,2,45,1.0,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,2.0,0.2
592,Saúl,Ñíguez,Saúl,6,16,3,49,1.6,478,0,1,1,6,0,0,0,1,0,0,0,68,89.6,66.0,60.0,21.5
606,Marcus,Bettinelli,Bettinelli,6,0,1,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
671,Lewis,Hall,Hall,6,0,3,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
672,Harvey,Vale,Vale,6,0,3,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
690,Robert Kenedy,Nunes do Nascimento,Kenedy,6,4,2,45,4.0,58,0,1,0,0,0,0,0,0,0,0,0,19,30.6,25.0,24.0,8.0
144,Conor,Gallagher,Gallagher,7,140,3,60,4.1,2843,8,6,11,38,0,0,0,10,0,0,16,469,673.8,635.9,672.0,197.9
146,Vicente,Guaita,Guaita,7,119,1,46,4.0,2655,0,0,11,33,0,0,0,2,0,83,11,567,614.6,0.0,0.0,61.4
147,James,Tomkins,Tomkins,7,17,2,43,2.1,545,1,0,0,11,0,0,0,2,0,0,2,97,140.4,22.0,88.0,25.1
148,James,McArthur,McArthur,7,54,3,43,2.6,1434,0,4,5,15,0,0,0,4,0,0,5,288,324.2,256.6,120.0,70.0
149,Christian,Benteke,Benteke,7,58,4,59,2.3,1132,4,1,4,20,0,0,0,3,0,0,6,173,250.2,176.7,523.0,94.3
150,Cheikhou,Kouyaté,Kouyaté,7,77,2,45,2.9,1970,0,1,8,28,0,0,0,3,0,0,5,395,315.0,85.8,41.0,44.3
151,Martin,Kelly,Kelly,7,0,2,38,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
152,Luka,Milivojevic,Milivojevic,7,19,3,52,1.3,767,0,0,1,16,1,0,0,1,0,0,0,118,88.6,196.6,38.0,32.3
153,Jordan,Ayew,Ayew,7,77,4,58,2.5,2012,3,4,9,31,0,0,0,2,0,0,3,281,349.2,361.3,491.0,120.1
154,Wilfried,Zaha,Zaha,7,150,3,69,4.5,2759,14,2,11,34,0,0,2,4,1,0,11,422,777.2,660.5,1001.0,243.8
155,Jeffrey,Schlupp,Schlupp,7,86,3,54,2.7,1840,4,2,8,19,0,0,0,1,0,0,2,297,412.0,249.8,486.0,114.9
156,Jack,Butland,Butland,7,30,1,44,3.3,765,0,0,1,13,0,1,0,0,0,17,3,132,155.0,0.0,0.0,15.7
157,Jairo,Riedewald,Riedewald,7,4,3,47,1.3,116,0,0,0,5,0,0,0,0,0,0,0,16,11.2,27.5,2.0,4.0
158,Jarosław,Jach,Jach,7,0,2,42,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
159,Jean-Philippe,Mateta,Mateta,7,61,4,53,2.8,1138,5,1,5,14,0,0,0,2,0,0,6,182,253.6,112.8,568.0,93.4
160,Eberechi,Eze,Eze,7,31,3,59,2.4,599,1,1,3,8,0,0,0,1,0,0,2,125,120.0,175.3,135.0,43.2
161,Nathan,Ferguson,Ferguson,7,1,2,45,1.0,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0
162,Tyrick,Mitchell,Mitchell,7,109,2,45,3.0,3101,0,2,10,43,0,0,0,1,0,0,6,561,619.2,380.5,111.0,111.1
386,Will,Hughes,Hughes,7,34,3,47,2.1,1050,0,2,4,16,0,0,0,6,0,0,2,164,159.0,143.0,60.0,36.3
464,Michael,Olise,Olise,7,73,3,53,2.8,1127,2,6,4,14,0,0,0,4,0,0,8,287,308.2,389.0,269.0,96.5
474,Joel,Ward,Ward,7,73,2,45,2.6,2486,0,0,9,37,0,0,0,8,0,0,2,422,455.8,132.5,64.0,65.4
477,Marc,Guéhi,Guéhi,7,123,2,45,3.4,3222,2,1,11,43,0,0,0,4,0,0,8,676,720.6,98.5,290.0,111.1
488,Joachim,Andersen,Andersen,7,124,2,47,3.6,2914,0,4,12,37,1,0,0,4,0,0,14,619,630.6,234.0,142.0,100.7
493,Nathaniel,Clyne,Clyne,7,59,2,43,3.7,1351,0,1,6,12,0,0,0,1,0,0,4,264,181.0,99.1,17.0,29.9
540,Reece,Hannam,Hannam,7,0,2,39,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
541,Jesurun,Rak-Sakyi,Rak-Sakyi,7,4,3,44,2.0,79,0,0,1,0,0,0,0,0,0,0,0,7,1.0,6.1,2.0,0.8
542,Robert,Street,Street,7,0,4,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
543,Scott,Banks,Banks,7,0,3,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
561,Remi,Matthews,Matthews,7,0,1,39,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
586,Odsonne,Edouard,Edouard,7,87,4,60,3.1,1554,6,4,9,19,0,0,0,4,0,0,9,280,389.8,265.7,618.0,127.6
709,Tayo,Adaramola,Adaramola,7,0,2,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42,Anwar,El Ghazi,El Ghazi,8,22,3,56,2.0,392,1,1,1,8,0,0,0,2,0,0,1,61,74.6,85.2,85.0,24.4
163,Fabian,Delph,Delph,8,18,3,42,1.6,660,0,0,3,6,0,0,0,2,0,0,0,118,115.6,58.4,16.0,19.0
164,Gylfi,Sigurdsson,Sigurdsson,8,0,3,67,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
165,Seamus,Coleman,Coleman,8,79,2,49,2.6,2656,1,1,7,50,1,0,0,4,0,0,6,439,469.4,232.1,170.0,86.9
166,James,Rodríguez,James,8,0,3,69,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
167,Bernard,Anício Caldeira Duarte,Bernard,8,0,3,55,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
169,Michael,Keane,Keane,8,102,2,46,3.2,2791,3,2,8,54,2,0,0,2,1,0,11,518,697.0,97.0,231.0,102.7
170,Jordan,Pickford,Pickford,8,116,1,48,3.3,3150,0,0,7,58,0,0,0,2,0,117,12,624,863.2,43.0,0.0,90.5
171,Allan,Marques Loureiro,Allan,8,58,3,43,2.1,2181,0,3,6,38,0,0,0,7,1,0,2,313,391.4,228.4,82.0,70.4
172,André Filipe,Tavares Gomes,André Gomes,8,18,3,49,1.3,614,0,1,0,19,0,0,0,3,0,0,0,47,84.0,85.2,136.0,30.6
173,Abdoulaye,Doucouré,Doucouré,8,90,3,53,3.0,2536,2,5,5,47,0,0,0,6,0,0,8,387,481.8,285.8,441.0,121.1
174,Alex,Iwobi,Iwobi,8,78,3,58,2.8,2029,2,2,6,38,0,0,0,1,0,0,6,312,370.0,501.4,357.0,122.7
175,Yerry,Mina,Mina,8,24,2,49,1.8,844,0,0,2,10,0,0,0,3,0,0,0,133,164.8,18.2,66.0,24.6
176,Tom,Davies,Davies,8,12,3,48,2.0,230,1,0,0,9,0,0,0,1,0,0,0,44,61.6,8.6,90.0,16.1
177,Dominic,Calvert-Lewin,Calvert-Lewin,8,64,4,77,3.8,1281,5,2,3,31,0,0,1,2,0,0,10,207,255.8,144.7,448.0,84.7
178,Mason,Holgate,Holgate,8,62,2,42,2.5,2133,2,2,5,42,1,0,0,7,1,0,2,312,431.2,42.1,120.0,59.3
179,Ben,Godfrey,Godfrey,8,45,2,47,2.0,2029,0,0,4,39,0,0,0,6,0,0,1,318,416.0,164.6,222.0,80.5
180,Richarlison,de Andrade,Richarlison,8,125,4,76,4.2,2522,10,6,7,46,0,0,0,9,0,0,19,413,651.4,383.7,1010.0,203.9
181,João,Virgínia,Virgínia,8,0,1,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
282,Donny,van de Beek,van de Beek,8,31,3,57,2.1,550,2,0,2,14,0,0,0,1,0,0,1,119,156.8,77.6,118.0,35.3
363,Bamidele,Alli,Dele,8,35,3,62,1.7,985,1,0,3,23,0,0,0,4,0,0,1,103,189.2,142.6,129.0,46.1
481,Asmir,Begović,Begović,8,13,1,40,4.3,270,0,0,1,8,0,0,0,0,0,11,3,61,81.8,0.0,0.0,8.2
482,Andros,Townsend,Townsend,8,66,3,52,3.1,1452,3,2,3,30,0,0,0,3,0,0,8,252,351.6,468.9,221.0,103.9
484,Demarai,Gray,Gray,8,106,3,54,3.1,2336,5,5,6,39,0,0,0,3,0,0,3,397,486.2,644.2,758.0,189.0
502,Jonjoe,Kenny,Kenny,8,21,2,43,1.4,1015,0,1,1,24,0,0,0,1,1,0,0,147,164.6,175.4,44.0,38.5
503,Anthony,Gordon,Gordon,8,100,3,47,2.9,2277,4,3,7,40,0,0,0,4,0,0,9,325,460.4,523.0,632.0,161.6
504,Jean-Philippe,Gbamin,Gbamin,8,3,3,44,1.0,65,0,0,0,2,0,0,0,0,0,0,0,10,7.0,0.6,0.0,0.8
544,Jarrad,Branthwaite,Branthwaite,8,7,2,40,1.2,387,1,0,0,17,0,0,0,0,1,0,1,49,90.2,2.8,44.0,13.8
545,Nathan,Broadhead,Broadhead,8,0,4,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
564,Moise,Kean,Kean,8,1,4,60,1.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
570,Niels,Nkounkou,Nkounkou,8,0,2,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
571,Andy,Lonergan,Lonergan,8,0,1,39,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
